idTweet	idUser	indiceStart	indiceEnd
677034164722475012	462760609	104	116
676825436878409728	117345550	112	128
676724713197039616	353566756	0	11
676724713197039616	117345550	33	49
676742595125616640	135445321	0	13
676742595125616640	18565111	14	21
676742595125616640	117345550	22	38
676742801787387904	135445321	0	13
676742801787387904	18565111	14	21
676742801787387904	117345550	22	38
676709977055223808	237752246	49	59
676709977055223808	21640730	61	68
676709977055223808	517633034	70	85
676709977055223808	17510568	87	102
676706009490939904	301636339	72	85
676653833729241089	2437074698	106	116
676653833729241089	90828164	118	132
676478770140680192	21640730	72	79
676478770140680192	2794599166	80	92
676478770140680192	459245594	93	106
676478770140680192	723768576604311552	107	116
676478770140680192	563629852	117	128
676478770140680192	175099109	129	140
676488426007457793	2336289696	31	45
676438729888808964	802025095	67	79
676385586098343936	485694429	116	132
676144755923886080	2810964800	25	41
676060271383834625	1920860480	21	29
676012988726423552	848950321	72	88
675222547189923843	321321858	90	104
675222547189923843	94131301	105	114
675967489902252033	2327335410	25	39
675799469246517248	893799054	0	11
675800303095128064	520488996	0	16
675702351035039745	14659447	122	129
675686268160892928	2831647126	69	78
675683729742893056	380449819	31	38
675683729742893056	242694507	68	81
675647216837595136	234489322	59	73
675631755311849473	291180992	48	58
675366376190668800	273946973	118	126
675331998785912834	1920860480	68	76
675320658310651904	1920860480	1	9
675320658310651904	339007861	57	70
675292649860018176	2357391	133	140
675292570382180352	42497567	58	65
675255934583746560	326063623	4	18
675255934583746560	898433816	19	34
675243196830638080	22940460	62	78
675239084839837696	339007861	100	113
675225375149047809	217210001	0	11
675072640541990912	898433816	41	56
674956904125341697	111631534	102	114
674901428532572160	2327881	91	101
674310479586729984	3383612925	96	110
674295800718061568	18436075	23	37
673473115192717312	339007861	102	115
674238397586739200	4267764334	3	15
674235891360129024	544573927	31	41
674235891360129024	848950321	71	87
674235891360129024	1289962026	118	129
674216929821925376	3813704779	18	34
674216929821925376	3813704779	42	58
674178875891589120	3813704779	34	50
674176742085558272	68440549	0	5
674169410018521088	68440549	35	40
674121111429337088	414053698	23	37
673958740782133249	117345550	34	50
673868270588530688	262671176	0	13
673870140287655936	479549227	0	14
673870534795534336	262671176	0	13
673872223132901376	262671176	0	13
673872303667740673	262671176	0	13
673872757252321280	262671176	0	13
673873347994853376	262671176	0	13
673873787482472448	262671176	0	13
673874093230395392	262671176	0	13
673874337208864768	262671176	0	13
673874738159185920	262671176	0	13
673874905759416321	262671176	0	13
673875366293975041	262671176	0	13
673875417519005696	262671176	0	13
673882958504329217	479549227	0	14
673883255528140800	479549227	0	14
673883428555776002	262671176	0	13
673883901144748033	262671176	0	13
673884375608647680	262671176	0	13
673884917672124416	262671176	0	13
673885386528174081	262671176	0	13
673887845174681600	479549227	0	14
673888069079166977	479549227	0	14
673889629666467840	262671176	0	13
673889468286398464	1433693564	105	115
673558308700225536	1920860480	42	50
673626143690506240	143072292	88	104
673542111342538752	26203847	54	67
673524032051003393	1128550574	59	71
673501890211160068	1509640741	1	13
673501890211160068	276999128	104	113
673501890211160068	129479601	114	124
673502855207104516	456529462	0	10
673502855207104516	1509640741	109	121
